 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000           0.000           0.000           0.000;
     1    0.009           0.000          21.156           0.000;
     2    0.018           0.000          93.469           2.219;
     3    0.027           0.000         206.969          15.250;
     4    0.035           0.000         344.906          47.500;
     5    0.044           0.000         502.688         106.594;
     6    0.053           0.000         676.938         196.969;
     7    0.062           0.000         855.344         316.969;
     8    0.071           1.438        1035.750         460.000;
     9    0.080          10.031        1209.125         615.219;
    10    0.089          14.000        1375.156         769.531;
    11    0.097          14.000        1538.688         909.563;
    12    0.106          14.000        1691.656        1022.969;
    13    0.115          14.000        1832.281        1103.375;
    14    0.124          14.000        1958.188        1148.844;
    15    0.133          14.000        2058.469        1163.969;
    16    0.142          14.000        2123.125        1157.750;
    17    0.151          14.000        2151.000        1134.688;
    18    0.159          14.000        2143.000        1104.563;
    19    0.168          14.000        2096.063        1072.094;
    20    0.177          14.000        2013.313        1039.469;
    21    0.186          14.000        1895.313        1004.594;
    22    0.195          14.000        1758.094         962.438;
    23    0.204          14.000        1612.031         907.000;
    24    0.213          14.000        1461.344         834.969;
    25    0.221          14.000        1317.031         745.281;
    26    0.230          14.000        1185.656         641.969;
    27    0.239          14.000        1064.000         533.219;
    28    0.248          14.000         948.000         428.125;
    29    0.257          14.000         848.719         336.875;
    30    0.266          12.531         768.406         267.625;
    31    0.274          12.531         703.500         226.625;
    32    0.283          12.531         653.750         214.000;
    33    0.292          12.531         624.031         227.875;
    34    0.301          12.531         617.500         262.875;
    35    0.310          12.531         640.344         309.906;
    36    0.319          12.531         687.688         361.625;
    37    0.328          12.531         756.063         411.719;
    38    0.336          12.531         842.906         456.781;
    39    0.345          12.531         948.688         496.719;
    40    0.354          12.531        1068.094         534.281;
    41    0.363          12.531        1184.250         574.156;
    42    0.372          12.531        1294.250         620.375;
    43    0.381          12.531        1397.969         674.750;
    44    0.390          12.531        1493.375         737.000;
    45    0.398          12.531        1573.781         804.000;
    46    0.407          13.531        1633.000         870.094;
    47    0.416          13.531        1672.469         927.719;
    48    0.425          13.531        1696.250         968.906;
    49    0.434          13.531        1706.594         987.969;
    50    0.443          13.531        1707.469         983.781;
    51    0.452          13.531        1695.500         954.063;
    52    0.460          13.531        1674.063         905.813;
    53    0.469          13.531        1640.438         847.688;
    54    0.478          13.531        1591.875         788.313;
    55    0.487          13.531        1525.406         734.969;
    56    0.496          13.531        1446.500         692.406;
    57    0.505          13.531        1363.500         661.063;
    58    0.514          13.531        1282.375         638.688;
    59    0.522          13.531        1206.063         621.344;
    60    0.531          13.531        1136.188         604.375;
    61    0.540          13.531        1073.875         584.063;
    62    0.549          13.531        1017.281         557.844;
    63    0.558          13.531         970.625         525.438;
    64    0.567          13.531         946.906         488.656;
    65    0.576          13.531         943.500         452.906;
    66    0.584          13.531         960.688         425.750;
    67    0.593          13.531         988.438         414.031;
    68    0.602          13.531        1022.938         422.688;
    69    0.611          13.531        1053.656         455.313;
    70    0.620          13.531        1073.469         506.531;
    71    0.629          13.531        1085.656         567.594;
    72    0.638          13.531        1095.938         626.219;
    73    0.646          13.531        1108.375         671.219;
    74    0.655          13.531        1126.531         693.969;
    75    0.664          13.531        1152.031         693.813;
    76    0.673          13.531        1183.688         670.000;
    77    0.682          13.531        1218.531         633.313;
    78    0.691          13.531        1252.438         595.531;
    79    0.699          13.531        1280.969         568.625;
    80    0.708          13.531        1300.750         560.000;
    81    0.717          13.531        1310.469         574.750;
    82    0.726          13.531        1312.469         611.188;
    83    0.735          13.531        1309.781         660.406;
    84    0.744          13.531        1307.500         711.438;
    85    0.753          13.531        1309.000         752.938;
    86    0.761          13.531        1318.219         776.531;
    87    0.770          13.531        1334.906         779.500;
    88    0.779          13.531        1357.469         761.063;
    89    0.788          13.531        1382.938         728.375;
    90    0.797          13.531        1406.844         691.875;
    91    0.806          13.531        1424.219         662.125;
    92    0.815          13.531        1430.469         647.094;
    93    0.823          13.531        1427.063         649.188;
    94    0.832          13.531        1412.625         670.250;
    95    0.841          13.531        1394.188         702.281;
    96    0.850          13.531        1376.406         736.250;
    97    0.859          13.531        1364.344         763.094;
    98    0.868          13.531        1360.500         775.625;
    99    0.877          13.531        1364.719         772.531;
   100    0.885          13.531        1376.188         751.969;
   101    0.894          13.531        1390.031         721.656;
   102    0.903          13.531        1402.469         689.781;
   103    0.912          13.531        1409.469         664.500;
   104    0.921          13.531        1410.469         651.875;
   105    0.930          13.531        1400.531         652.500;
   106    0.939          13.531        1386.938         669.031;
   107    0.947          13.531        1371.719         693.875;
   108    0.956          13.531        1359.250         720.188;
   109    0.965          13.531        1352.500         740.906;
   110    0.974          13.531        1351.500         750.969;
   111    0.983          13.531        1359.219         749.875;
   112    0.992          13.531        1371.000         735.688;
   113    1.001          13.531        1384.500         714.688;
   114    1.009          13.531        1396.219         693.031;
   115    1.018          13.531        1403.313         676.438;
   116    1.027          13.531        1404.469         669.000;
   117    1.036          13.531        1399.906         671.375;
   118    1.045          13.531        1390.656         684.906;
   119    1.054          13.531        1380.469         703.875;
   120    1.063          13.531        1372.500         723.094;
   121    1.071          13.531        1368.750         737.500;
   122    1.080          13.531        1370.000         743.969;
   123    1.089          13.531        1375.938         742.500;
   124    1.098          13.531        1384.750         731.406;
   125    1.107          13.531        1393.656         715.969;
   126    1.116          13.531        1400.438         700.438;
   127    1.124          13.531        1402.906         688.938;
   128    1.133          13.531        1402.000         684.000;
   129    1.142          13.531        1395.563         684.500;
   130    1.151          13.531        1387.500         693.438;
   131    1.160          13.531        1379.656         705.563;
   132    1.169          13.531        1374.406         717.438;
   133    1.178          13.531        1372.500         726.000;
   134    1.186          13.531        1374.000         729.625;
   135    1.195          13.531        1378.625         728.500;
   136    1.204          13.531        1385.000         721.563;
   137    1.213          13.531        1390.563         712.156;
   138    1.222          13.531        1394.469         703.094;
   139    1.231          13.531        1395.469         696.875;
   140    1.240          13.531        1395.469         694.250;
   141    1.248          13.531        1390.438         695.500;
   142    1.257          13.531        1385.844         700.719;
   143    1.266          13.531        1382.094         707.969;
   144    1.275          13.531        1380.313         714.688;
   145    1.284          13.531        1379.500         719.531;
   146    1.293          13.531        1381.906         721.500;
   147    1.302          13.531        1385.406         721.969;
   148    1.310          13.531        1388.500         718.031;
   149    1.319          13.531        1390.563         713.031;
   150    1.328          13.531        1391.469         708.250;
   151    1.337          13.531        1391.469         704.719;
   152    1.346          13.531        1390.000         703.000;
   153    1.355          13.531        1387.594         703.000;
   154    1.364          13.531        1385.906         703.000;
   155    1.372          13.531        1384.563         706.750;
   156    1.381          13.531        1384.500         710.188;
   157    1.390          13.531        1384.500         712.969;
   158    1.399          13.531        1386.000         714.906;
   159    1.408          13.531        1386.000         715.969;
   160    1.417          13.531        1386.844         715.969;
   161    1.426          13.531        1387.469         714.500;
   162    1.434          13.531        1387.469         711.875;
   163    1.443          13.531        1387.469         709.344;
   164    1.452          13.531        1387.469         707.000;
   165    1.461          13.531        1387.469         706.000;
   166    1.470          13.531        1387.469         706.000;
   167    1.479          13.531        1387.469         706.000;
   168    1.488          13.531        1387.469         707.500;
   169    1.496          13.531        1387.469         709.813;
   170    1.505          13.531        1387.469         712.125;
   171    1.514          13.531        1387.469         713.906;
   172    1.523          13.531        1387.469         714.688;
   173    1.532          13.531        1387.469         714.969;
   174    1.541          13.531        1387.469         714.969;
   175    1.549          13.531        1387.469         712.250;
   176    1.558          13.531        1387.469         710.000;
   177    1.567          13.531        1387.469         708.000;
   178    1.576          13.531        1387.469         707.000;
   179    1.585          13.531        1387.469         706.031;
   180    1.594          13.531        1387.469         706.000;
   181    1.603          13.531        1387.469         707.500;
   182    1.611          13.531        1387.469         709.469;
   183    1.620          13.531        1387.469         711.500;
   184    1.629          13.531        1387.469         712.969;
   185    1.638          13.531        1387.469         713.969;
   186    1.647          13.531        1387.469         713.969;
   187    1.656          13.531        1387.469         713.969;
   188    1.665          13.531        1387.469         712.500;
   189    1.673          13.531        1387.469         710.344;
   190    1.682          13.531        1387.469         708.781;
   191    1.691          13.531        1387.469         707.531;
   192    1.700          13.531        1387.469         707.000;
   193    1.709          13.531        1387.469         707.000;
   194    1.718          13.531        1387.469         707.000;
   195    1.727          13.531        1387.469         709.313;
   196    1.735          13.531        1387.469         711.000;
   197    1.744          13.531        1387.469         712.313;
   198    1.753          13.531        1387.469         712.969;
   199    1.762          13.531        1387.469         712.969;
   200    1.771          13.531        1387.469         712.969;
   201    1.780          13.531        1387.469         712.969;
   202    1.789          13.531        1387.469         710.625;
   203    1.797          13.531        1387.469         709.188;
   204    1.806          13.531        1387.469         708.094;
   205    1.815          13.531        1387.469         708.000;
   206    1.824          13.531        1387.469         708.000;
   207    1.833          13.531        1387.469         708.000;
   208    1.842          13.531        1387.469         709.500;
   209    1.851          13.531        1387.469         710.781;
   210    1.859          13.531        1387.469         711.969;
   211    1.868          13.531        1387.469         712.625;
   212    1.877          13.531        1387.469         712.969;
   213    1.886          13.531        1387.469         712.969;
   214    1.895          13.531        1387.469         712.969;
   215    1.904          13.531        1387.469         710.750;
   216    1.913          13.531        1387.469         709.594;
   217    1.921          13.531        1387.469         708.844;
   218    1.930          13.531        1387.469         708.000;
   219    1.939          13.531        1387.469         708.000;
   220    1.948          13.531        1387.469         708.000;
   221    1.957          13.531        1387.469         709.500;
   222    1.966          13.531        1387.469         710.563;
   223    1.974          13.531        1387.469         711.563;
   224    1.983          13.531        1387.469         711.969;
   225    1.992          13.531        1387.469         711.969;
   226    2.001          13.531        1387.469         711.969;
   227    2.010          13.531        1387.469         711.969;
   228    2.019          13.531        1387.469         710.500;
   229    2.028          13.531        1387.469         709.875;
   230    2.036          13.531        1387.469         709.000;
   231    2.045          13.531        1387.469         709.000;
   232    2.054          13.531        1387.469         709.000;
   233    2.063          13.531        1387.469         709.000;
   234    2.072          13.531        1387.469         709.000;
   235    2.081          13.531        1387.469         710.500;
