 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000           0.000           0.000           0.000;
     1    0.009           0.000          22.375           0.000;
     2    0.018           0.000          95.719           1.781;
     3    0.027           0.000         212.969          15.063;
     4    0.035           0.000         360.281          47.938;
     5    0.044           0.000         525.625         109.031;
     6    0.053           0.000         708.188         202.938;
     7    0.062           0.000         896.563         328.219;
     8    0.071           2.156        1086.000         478.063;
     9    0.080          12.156        1269.406         641.063;
    10    0.089          14.000        1445.094         804.000;
    11    0.097          14.000        1617.844         952.813;
    12    0.106          14.000        1779.656        1075.469;
    13    0.115          14.000        1930.375        1165.281;
    14    0.124          14.000        2066.469        1220.313;
    15    0.133          14.000        2174.313        1244.469;
    16    0.142          14.000        2251.094        1245.406;
    17    0.151          14.000        2295.531        1227.281;
    18    0.159          14.000        2306.469        1200.094;
    19    0.168          14.000        2279.844        1169.625;
    20    0.177          14.000        2219.938        1139.594;
    21    0.186          14.000        2128.281        1109.531;
    22    0.195          14.000        2005.813        1076.563;
    23    0.204          14.000        1861.844        1034.094;
    24    0.213          14.000        1712.813         976.063;
    25    0.221          14.000        1563.125         898.750;
    26    0.230          14.000        1419.875         803.063;
    27    0.239          14.000        1292.406         694.063;
    28    0.248          14.000        1178.063         581.313;
    29    0.257          14.000        1069.938         475.781;
    30    0.266          14.000         970.656         388.219;
    31    0.274          14.000         891.313         326.031;
    32    0.283          14.000         831.000         293.844;
    33    0.292          14.000         788.344         290.000;
    34    0.301          14.000         763.219         313.594;
    35    0.310          14.000         757.500         355.531;
    36    0.319          14.000         776.875         405.969;
    37    0.328          14.000         818.438         456.563;
    38    0.336          14.000         882.875         500.844;
    39    0.345          14.000         971.250         536.344;
    40    0.354          14.000        1081.531         564.969;
    41    0.363          14.000        1198.781         592.438;
    42    0.372          14.000        1312.438         625.531;
    43    0.381          14.000        1421.656         669.250;
    44    0.390          14.000        1525.438         726.000;
    45    0.398          14.000        1617.813         794.656;
    46    0.407          14.000        1690.750         870.531;
    47    0.416          14.000        1744.344         945.469;
    48    0.425          14.000        1783.094        1009.219;
    49    0.434          14.000        1810.813        1052.844;
    50    0.443          14.000        1829.656        1070.469;
    51    0.452          14.000        1840.469        1061.875;
    52    0.460          14.000        1842.469        1027.406;
    53    0.469          14.000        1833.813         976.563;
    54    0.478          14.000        1811.813         919.469;
    55    0.487          14.000        1775.719         865.906;
    56    0.496          14.000        1724.000         823.156;
    57    0.505          14.000        1655.594         794.875;
    58    0.514          14.000        1571.188         780.031;
    59    0.522          14.000        1481.438         772.375;
    60    0.531          14.000        1398.250         763.938;
    61    0.540          14.000        1327.750         747.656;
    62    0.549          14.000        1272.531         719.406;
    63    0.558          14.000        1231.750         679.469;
    64    0.567          14.000        1203.500         632.000;
    65    0.576          14.000        1183.938         583.969;
    66    0.584          14.000        1169.906         543.594;
    67    0.593          14.000        1157.313         517.656;
    68    0.602          14.000        1144.563         509.563;
    69    0.611          14.000        1131.219         520.063;
    70    0.620          14.000        1117.781         546.094;
    71    0.629          14.000        1106.656         579.625;
    72    0.638          14.000        1099.938         611.938;
    73    0.646          14.000        1099.500         635.563;
    74    0.655          14.000        1106.281         645.469;
    75    0.664          14.000        1119.281         642.500;
    76    0.673          14.000        1136.750         625.219;
    77    0.682          14.000        1156.094         601.250;
    78    0.691          14.000        1175.500         578.125;
    79    0.699          14.000        1192.688         562.688;
    80    0.708          14.000        1205.906         559.500;
    81    0.717          14.000        1215.188         571.063;
    82    0.726          14.000        1221.219         596.563;
    83    0.735          14.000        1225.750         630.188;
    84    0.744          14.000        1231.594         665.063;
    85    0.753          14.000        1241.469         694.313;
    86    0.761          14.000        1257.219         712.594;
    87    0.770          14.000        1279.594         718.469;
    88    0.779          14.000        1308.313         713.219;
    89    0.788          14.000        1341.594         699.625;
    90    0.797          14.000        1377.344         685.500;
    91    0.806          14.000        1412.250         677.500;
    92    0.815          14.000        1444.156         680.063;
    93    0.823          14.000        1471.125         698.750;
    94    0.832          14.000        1492.563         730.188;
    95    0.841          14.000        1508.250         770.094;
    96    0.850          14.000        1519.844         811.594;
    97    0.859          14.000        1529.469         846.844;
    98    0.868          14.000        1538.469         869.344;
    99    0.877          14.000        1547.906         876.063;
   100    0.885          14.000        1556.844         866.500;
   101    0.894          14.000        1563.094         842.500;
   102    0.903          14.000        1565.469         811.094;
   103    0.912          14.000        1560.781         779.594;
   104    0.921          14.000        1548.844         753.906;
   105    0.930          14.000        1531.188         738.344;
   106    0.939          14.000        1509.188         733.500;
   107    0.947          14.000        1486.000         738.500;
   108    0.956          14.000        1464.469         750.625;
   109    0.965          14.000        1448.344         763.906;
   110    0.974          14.000        1440.156         773.563;
   111    0.983          14.000        1439.500         777.375;
   112    0.992          14.000        1447.969         774.813;
   113    1.001          14.000        1461.344         765.531;
   114    1.009          14.000        1476.688         754.500;
   115    1.018          14.000        1490.938         746.063;
   116    1.027          14.000        1501.906         742.500;
   117    1.036          14.000        1508.000         745.875;
   118    1.045          14.000        1509.469         757.719;
   119    1.054          14.000        1508.000         773.938;
   120    1.063          14.000        1505.500         790.875;
   121    1.071          14.000        1504.500         804.469;
   122    1.080          14.000        1504.500         811.875;
   123    1.089          14.000        1508.156         813.469;
   124    1.098          14.000        1511.531         805.969;
   125    1.107          14.000        1514.156         793.375;
   126    1.116          14.000        1514.469         778.594;
   127    1.124          14.000        1514.469         765.281;
   128    1.133          14.000        1510.000         755.688;
   129    1.142          14.000        1504.656         751.500;
   130    1.151          14.000        1499.094         751.500;
   131    1.160          14.000        1493.875         757.969;
   132    1.169          14.000        1490.500         767.188;
   133    1.178          14.000        1489.500         776.719;
   134    1.186          14.000        1489.500         784.406;
   135    1.195          14.000        1494.531         788.813;
   136    1.204          14.000        1499.344         790.469;
   137    1.213          14.000        1504.281         789.000;
   138    1.222          14.000        1507.906         783.750;
   139    1.231          14.000        1509.469         778.094;
   140    1.240          14.000        1509.469         773.250;
   141    1.248          14.000        1508.000         770.031;
   142    1.257          14.000        1505.906         768.500;
   143    1.266          14.000        1503.563         768.500;
   144    1.275          14.000        1502.500         771.125;
   145    1.284          14.000        1502.500         774.719;
   146    1.293          14.000        1502.500         778.281;
   147    1.302          14.000        1502.500         781.344;
   148    1.310          14.000        1502.500         783.219;
   149    1.319          14.000        1502.500         783.469;
   150    1.328          14.000        1502.500         783.469;
   151    1.337          14.000        1502.500         780.813;
   152    1.346          14.000        1502.500         777.344;
   153    1.355          14.000        1502.500         774.125;
   154    1.364          14.000        1502.500         771.719;
   155    1.372          14.000        1502.500         770.500;
   156    1.381          14.000        1502.500         770.500;
   157    1.390          14.000        1502.500         770.500;
   158    1.399          14.000        1502.500         774.188;
   159    1.408          14.000        1502.500         777.344;
   160    1.417          14.000        1502.500         780.125;
   161    1.426          14.000        1502.500         781.844;
   162    1.434          14.000        1502.500         782.469;
   163    1.443          14.000        1502.500         782.469;
   164    1.452          14.000        1502.500         781.000;
   165    1.461          14.000        1502.500         778.000;
   166    1.470          14.000        1502.500         775.125;
   167    1.479          14.000        1502.500         772.906;
   168    1.488          14.000        1502.500         771.500;
   169    1.496          14.000        1502.500         771.500;
   170    1.505          14.000        1502.500         771.500;
   171    1.514          14.000        1502.500         773.969;
   172    1.523          14.000        1502.500         776.719;
   173    1.532          14.000        1502.500         779.313;
   174    1.541          14.000        1502.500         780.844;
   175    1.549          14.000        1502.500         781.469;
   176    1.558          14.000        1502.500         781.469;
   177    1.567          14.000        1502.500         781.469;
   178    1.576          14.000        1502.500         778.281;
   179    1.585          14.000        1502.500         775.813;
   180    1.594          14.000        1502.500         773.688;
   181    1.603          14.000        1502.500         772.500;
   182    1.611          14.000        1502.500         772.500;
   183    1.620          14.000        1502.500         772.500;
   184    1.629          14.000        1502.500         774.000;
   185    1.638          14.000        1502.500         776.313;
   186    1.647          14.000        1502.500         778.500;
   187    1.656          14.000        1502.500         780.156;
   188    1.665          14.000        1502.500         780.469;
   189    1.673          14.000        1502.500         780.469;
   190    1.682          14.000        1502.500         780.469;
   191    1.691          14.000        1502.500         778.406;
   192    1.700          14.000        1502.500         776.281;
   193    1.709          14.000        1502.500         774.500;
   194    1.718          14.000        1502.500         773.500;
   195    1.727          14.000        1502.500         772.875;
   196    1.735          14.000        1502.500         772.500;
   197    1.744          14.000        1502.500         774.000;
   198    1.753          14.000        1502.500         776.125;
   199    1.762          14.000        1502.500         777.969;
   200    1.771          14.000        1502.500         779.469;
   201    1.780          14.000        1502.500         780.469;
   202    1.789          14.000        1502.500         780.469;
   203    1.797          14.000        1502.500         780.469;
   204    1.806          14.000        1502.500         778.406;
   205    1.815          14.000        1502.500         776.531;
   206    1.824          14.000        1502.500         774.969;
   207    1.833          14.000        1502.500         773.906;
   208    1.842          14.000        1502.500         773.500;
   209    1.851          14.000        1502.500         773.500;
   210    1.859          14.000        1502.500         773.500;
   211    1.868          14.000        1502.500         776.063;
   212    1.877          14.000        1502.500         777.625;
   213    1.886          14.000        1502.500         779.031;
   214    1.895          14.000        1502.500         779.469;
   215    1.904          14.000        1502.500         779.469;
   216    1.913          14.000        1502.500         779.469;
   217    1.921          14.000        1502.500         778.000;
   218    1.930          14.000        1502.500         776.719;
   219    1.939          14.000        1502.500         775.438;
   220    1.948          14.000        1502.500         774.500;
   221    1.957          14.000        1502.500         774.500;
   222    1.966          14.000        1502.500         774.500;
   223    1.974          14.000        1502.500         774.500;
   224    1.983          14.000        1502.500         776.000;
   225    1.992          14.000        1502.500         777.469;
   226    2.001          14.000        1502.500         778.469;
   227    2.010          14.000        1502.500         779.406;
   228    2.019          14.000        1502.500         779.469;
   229    2.028          14.000        1502.500         779.469;
   230    2.036          14.000        1502.500         778.000;
   231    2.045          14.000        1502.500         776.813;
   232    2.054          14.000        1502.500         775.625;
   233    2.063          14.000        1502.500         774.844;
   234    2.072          14.000        1502.500         774.500;
   235    2.081          14.000        1502.500         774.500;
